talemaade_udtryk	A	B	C	D
slå en streg over noget	se bort fra noget; lade som om noget ikke er sket	følge nogens eksempel; føre en tradition videre efter nogen	strege noget ud	færdiggøre en af flere opgaver der er opstillet på en liste
spænde buen for hårdt	få mulighed for at udfolde sig frit og selvstændigt eller for at opleve noget nyt og spændende	bruge flere penge end man har	stille for store krav eller forventninger	spænde en bue så hårdt at den knækker
lægge alle sine æg i samme kurv	indsamle genstande eller dele der ligger spredt over et større område	placere samtlige æg i én kurv	det er ikke særlig kompliceret, avanceret eller svært at forstå	kun satse på én mulighed og dermed løbe en risiko
fare i blækhuset	(på en let og ubesværet måde) bringe noget frem eller præsentere det som noget nyt og overraskende i fx en debat eller en anden sammenhæng	klappe i; holde op med at tale	reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev)	skynde sig ind i et hus hvis facade er malet med blæk
søbe den kål man selv har spyttet i	spise grøntsager man selv har dyrket selvom de er af tvivlsom kvalitet	(være nødt til at) acceptere noget man tidligere har forkastet	give nogen skylden eller lade nogen tage ansvaret for noget	spise den portion kål man selv har spyttet i
støde nogen på manchetterne	ramme nogen på deres hænder eller håndled	noget allerede velkendt som man ændrer lidt og forsøger at præsentere som noget nyt	fornærme eller krænke nogen	gøre grin med nogens påklædning
det skriger til himlen	tisse	det er uhyrligt, skandaløst og dybt rystende og kræver øjeblikkelig indgriben	et barn skriger meget højt med  ansigtet vendt mod himlen	det er meget sjældent eller ualmindeligt
sur røv	snavset bagdel	bruges om en meget uheldig eller ærgerlig situation	det sidste stykke eller den sidste skive af noget spiseligt	bebyrde nogen med noget, fx arbejdsopgaver eller bekymringer
det hører man ikke når musikken spiller	det gør ikke så meget; det vil ingen lægge mærke til	(visse typer) støj kan overdøves af musik	man kan slippe afsted med meget	der foregår en intensiv forfølgelse eller eftersøgning; der foregår en heftig aktivitet med hurtige bevægelser eller handlinger
som at se maling tørre	vise tegn på anger eller sorg	bruges for at betegne en meget lang ventetid	bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig	som at observere en nymalet væg gå fra våd til tør
en storm i et glas vand	bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig	voldsomt røre pga. en bagatel	et skænderi der foregår ved spisebordet eller under et måltid	cirkulære bevægelser i væsken i et glas
stege i sit eget fedt	holde sig til sine egne; være del af en lille, lukket kreds af mennesker	en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen	stege et stykke kød i animalsk fedt fra det dyr kødet stammer fra	tage de ubehagelige følger af sine handlinger eller udtalelser
miraklernes tid er ikke forbi	der er stadigvæk håb; der kan stadigvæk ske særdeles overraskende ting	der findes ting vi ikke kan forklare rationelt	når man ikke foretager sig noget nyttigt eller fornuftigt, skaber man let problemer for sig selv eller andre, fx fordi man af kedsomhed fristes til uacceptable handlinger	vi befinder os fortsat i perioden kaldet miraklernes tid
bukke begge ender sammen på	give en omgang tæsk	bøje en genstand så enderne mødes	skabe sig en fordel ud af andres ulempe	ikke særlig god, klog eller dygtig
med det yderste af neglene	med nød og næppe; kun lige akkurat	uden koncentration eller entusiasme	være tilbøjelig til at snakke for meget	med neglenes yderste, hvidlige kant
ride sin kæphest	lege med et stykke legetøj der forestiller en hest	dyrke en hobby; beskæftige sig med noget som man finder særligt interessant	det der virker som den udløsende kraft; det der får tålmodigheden til at briste	(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne
en hård nød at knække	vanskelig opgave eller situation	et lukket sind	have et meget begrænset omfang	denne nød er svær at ødelægge skallen på
gøre kål på	omlægge til en kost med flere grøntsager	tilsætte kål til en ret	voldsomt røre pga. en bagatel	tilintetgøre; vinde over
det går ikke altid som præsten prædiker	en præst har ikke magt over menighedens adfærd	kristne (eller religiøse) mennesker er ikke fejlfri	(arbejde) hårdt og intensivt	tingene udvikler sig ikke altid sådan som man havde regnet med
gnide sig op ad nogen	have de samme holdninger som en anden person	gnide sin krop op ad en andens krop	ikke være så fornem som de andre; deltage i noget man ikke er egnet til	være påtrængende og indsmigrende
hår i suppen	være den der bestemmer og har det sidste ord	fejl som man skammer sig over at have begået	mindre fejl eller skavank; ubetydelig detalje	et hår der ligger i en suppe
træde nogen over tæerne	(komme til at) træde på en anden persons tæer	fornærme eller på anden vis optræde respektløst eller stødende	overbeskytte; forskåne for ubehagelige oplevelser	tiltvinge sig nogens opmærksomhed, fx ved at bryde ind eller råbe op
tage skeen i den anden hånd	enhver har sin særegne måde at udtrykke sig på	ændre fremgangsmåde, taktik eller adfærd (fordi den tidligere anvendte er uønsket, har vist sig uheldig eller lignende)	flytte en ske fra den ene til den anden hånd	spise en portion mere, typisk selv om man egentlig allerede er mæt
man kan også købe guld for dyrt	det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier	være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander	det er ikke besværet værd	man kan risikere at betale mere for guld end hvad de aktuelle guldpriser foreskriver
rønnebærrene er sure	det er endnu ikke blevet (sen)sommer	gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang	bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det	en mængde af rønnebær har et højt syreindhold
passe som fod i hose	passe som en nøgen fod i den rette størrelse sok	være bedste venner	belåne en bygning eller anden fast ejendom helt op til eller over dens værdi	passe godt; gå meget nemt
nerverne står på højkant	nogen er meget nervøs og anspændt	nogen er meget ked af det	om en bestemt udformning af et blads strenge	så er det slut (med at more sig)
tro som guld	være usikker, uvidende, dårligt forberedt eller lignende	meget sikker i sin overbevisning	meget trofast	guld beholder sin værdi for evigt
tælle på knapperne	være i tvivl om hvad man skal beslutte sig for; være i vildrede	forsikre sig om at man har råd	tælle et specifikt antal knapper	hvorfor er du sur; er der nogen der har fornærmet dig
der er intet nyt under solen	bruges for at udtrykke at der ikke er betydningsfulde nyheder eller forandringer	verdensrummet omkring Solen er uforandret	bruges for at udtrykke at vejret den seneste tid ikke har skiftet og derfor har været stabilt	være i en ekstrem situation fysisk eller psykisk pga. fx overanstrengelse, nervøsitet eller forventning
en gang til for prins Knud	bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende	endnu en gang til ære for en prins ved navn Knud	bruges for at angive at en person skal betale for endnu en udskænkning til alle på et værtshus eller i en bar	møde uoverstigelige vanskeligheder eller massiv modstand
krage søger mage	man har tilbøjelighed til at omgås ligesindede	en krage leder efter en anden krage som partner	mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats	intelligente mennesker bruger ofte lang tid på at finde en partner
ønske nogen hen hvor peberet gror	ønske nogen lykke og varme	ønske at nogen befandt sig meget langt væk så man slap for dét besvær	ønske nogen til de steder på kloden hvor der vokser peber	være meget knyttet til og afhængig af sin mor
rotterne forlader den synkende skude	flere personer forlader en situation (fx. et møde eller en fest) pga. opstået uro eller en dårlig stemning	dyr kan fornemme hvis noget er galt	nogen trækker sig ud af et forehavende fordi det er på vej til at mislykkes	det må prøves uanset hvordan resultatet bliver
så god som dagen er lang	der er (udsigt til) problemer	lige så god som længden på en dag	meget hjælpsom og omsorgsfuld	ualmindelig sød og rar
sætte fingeren på det ømme punkt	kærtegne et erogent område	finde og gøre opmærksom på et punkt hvor der er et problem, eller hvor noget eller nogen kan kritiseres	arbejde meget hårdt og indædt	placere en finger på et specifikt, ømt sted på kroppen
skyde gråspurve med kanoner	tilberede poussiner, dvs. mindre kyllinger	benytte kanonskud til at skyde gråspurve	blive udsat for en ubehagelig behandling svarende til den man udsætter andre for	bruge alt for stærke midler i forhold til situationen; overdrive; overreagere
de gode græd, og de onde lo	bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag	blive stærkt følelsesmæssigt påvirket af noget	de gode mennesker græder og de onde mennesker ler	bruges for at udtrykke at man synes en fortælling er banal
én svale gør ingen sommer	lægge hindringer i vejen for noget; gøre noget vanskeligt eller umuligt for nogen	at nogen ser en svale, betyder ikke at det er sommer	vejret kan godt være dårligt selvom det er sommer	ét eksempel på noget positivt medfører ikke nødvendigvis en generel bedring
tage en kugle for nogen	reglerne, forholdene og atmosfæren et bestemt sted	opbevare en kugle for nogen	påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den	passe et mindre, meget livligt barn, fx i forbindelse med forældres sygdom
have både til gården og til gaden	have udsmykning på begge sider af den ejendom som man bor i	have en stor bagdel og en stor barm	have nok til alle; have rigelige mængder	ikke være rådvild; være klog
for mange kokke fordærver maden	maden bliver dårlig hvis der er mange om at lave den	udsætte for et langvarigt og ubehageligt pres	hvis (for) mange personer deltager i noget, risikerer det at medføre et dårligt resultat	mange har dårlig køkkenhygiejne
trække læsset	nogen er i en presset eller faretruende situation	gøre den største og mest besværlige del af arbejdet	gøre noget bestemt på trods af manglende vilje eller lyst	trække (en vogn med) et tungt læs fremad
spise kirsebær med de store	lukke øjnene for virkeligheden; undlade at forsøge at løse problemerne	omgås eller konkurrere med sine overmænd	spise kirsebær sammen med nogen der er større end en selv	beskæftige sig med noget man næsten forstår
have en trumf i ærmet	snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende	snyde i kortspil ved at gemme trumfkort på kroppen	råde over et (hemmeligt) middel der kan bringe en i en fordelagtig situation	gemme på en hemmelighed
en fis i en hornlygte	resultatet af at prutte i en hornlygte	opblæst bagatel; flop, fiasko; en gang vrøvl	forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft	en ble med afføring; en lorteble
være grebet ud af luften	komme fra et (velstillet) hjem med kulturelle interesser	være opstået eller sket pludseligt og uden forvarsel	være uden grundlag i virkeligheden; være frit opfundet	blive indfanget i luften -- om fugl, insekt eller andet flyvende væsen
stikke halen mellem benene	placere sin hale mellem sine ben	gøre sig til over for nogen man gerne vil imponere, tiltrække ellerlign.	stikke af eller opgive et forehavende fordi man er bange, har problemer eller lignende	være nært forestående; snart komme
have en lille fjer på	være lidt beruset	en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode	være en anelse utilfreds med nogen eller noget	have en lille fjer (på sit tøj, sin hat eller lignende)
veje sine ord på en guldvægt	en uopdragen eller på anden måde ubehagelig person	være sikker på at det man har skrevet, er korrekt	måle vægten af en bog man har skrevet	tænke nøje over hvordan man formulerer sig
surt show	et show med surhed som omdrejningspunkt	genudsendelse i flow-tv	man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme	bruges som kommentar til en meget uheldig eller ærgerlig situation
have nogen nede i sækken	blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende	få ret i en meningsudveksling eller diskussion	opbevare en person i en sæk	være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander
gå gennem ild og vand	gennemføre noget der i begyndelsen forekom at være umuligt	gøre alt hvad der står i ens magt	bevæge sig gennem først flammer og efterfølgende hav	lade være med at påtale en forsyndelse, fejl, mangel eller anden uregelmæssighed og på den måde vise overbærenhed
se gennem fingrene med noget	undersøge fingre med et røntgenapparat	påtvinge nogen noget	opføre sig i strid med fastsatte regler; snyde	lade være med at påtale en forsyndelse, fejl, mangel eller anden uregelmæssighed og på den måde vise overbærenhed
sætte en finger på noget	forhindre at noget udvikler sig i en dårlig eller uheldig retning	placere sin finger et sted	finde og udpege noget som årsag til en udvikling eller som hovedpunkt i en bestemt sammenhæng	uventet blive afvist; komme ud for en stor skuffelse
hælde ned ad brættet	starte forfra	tippe et bræt så det der ligger på det, falder ned	mand eller dreng med et glad, ukompliceret eller oprindeligt væsen	afvise fuldstændig
erfaren mand er god at gæste	det som man gør meget, bliver man god til	af erfarne folk får man gode råd	en mand der er vant til at få besøg, er også god til at have gæster	blive overrasket eller afsløret i at gøre noget ulovligt eller umoralsk
hverken hoved eller hale	til det centrale eller væsentlige af noget	bruges for at udtrykke at noget er usammenhængende eller mangler idé og struktur	bruges om noget man ikke kan genkende	et væsen der ikke har et hoved og ikke har en hale
man må krybe før man kan gå	man skal lægge forsigtigt ud når man ønsker at komme i bedre form	udføre manuelt arbejde; arbejde hårdt eller flittigt	man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede	man er nødt til at lære at krybe eller kravle før man kan lære at gå
give nogen horn i panden	bedrage en mand ved at have et seksuelt forhold til hans kone	forstyrre nogen selvom de har frabedt sig det	placere horn i panden på nogen	udnytte sine muligheder; handle klogt
ligge på den flade hånd	ligge på en flad hånd	være helt oplagt eller umiddelbart tilgængelig	ikke være noget eller nogen som nogen bryder sig om eller er interesseret i	bruges for at udtrykke at noget skal spilles med venstre hånd
fuglen er fløjet	tydeligt og klart markere en grænse for noget	en bestemt (kriminel, eftersøgt) person er forsvundet	en bestemt sag er lukket eller afsluttet	bruges om trækfugle der har forladt vores breddegrader
trække fronterne op	redegøre for et kompliceret emne	hejse materialer opad i forbindelse med byggeri	have meget ringe evner i forhold til en anden	understrege uenigheden mellem to uforsonlige parter
forbuden frugt smager bedst	frugt som man har anskaffet sig på ulovlig vis, smager bedre end anden frugt	når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag	det er det man ikke har lov til, der virker mest tiltrækkende	når noget altid er tilgængeligt, er det mindre værd
gå i vasken	angribe nogen som tror at angriberen er en forbundsfælle	blive hældt ud i (køkken)vasken	mislykkes fuldstændig; ikke blive til noget	springe i vandet; begynde at bade (i naturen)
jokke i spinaten	ikke være særlig begavet	træde i en hunds ekskrementer	træde i noget spinat som man har spildt	utilsigtet sige eller gøre noget dumt
klappe i sine små hænder	klappe i ens hænder som er små	man er tæt ved at nå til en erkendelse	kritisere på en sarkastisk måde	udtrykke (ukritisk) begejstring
oven i hatten	uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået	lagt ovenpå hattens puld	lagt eller kastet skødesløst og uden hensyn til at noget kan gå i stykker	beskrive præcist og rammende; ramme et ømt punkt hos nogen
en hund i et spil kegler	en hund som har forvildet sig ind i et spil kegler	midlertidigt sætte en udvikling i bero	person, genstand eller lignende der virker fremmed eller malplaceret i en bestemt sammenhæng	meget festlig og underholdende person
ingen kæde er stærkere end det svageste led	det betaler sig at man hjælpes ad	hvis et led i en kæde er svagt er hele kæden svag	det som ikke er synligt eller nærværende, bliver hurtigt glemt	selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld
tab og vind med samme sind	man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr	bruges for at udtrykke at udfaldet af noget ikke interesserer én	man skal være ligeglad med om man taber eller vinder	bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser
ondt i håret	satse på flere forskellige muligheder samtidig	utilfreds med sit nyklippede hår eller en ny frisure	(fantom)smerter i håret	ondt i hovedet; tømmermænd
brede sig som ringe i vandet	forstørre eksponentielt	blive mere og mere omfattende; udvikle sig hurtigt og uimodståeligt	udtale sin kritiske mening højt og bestemt; skælde ud	danne ringformede mønstre i en vandoverflade
blive slap i knæene	være fysisk belastet pga. høj kropsvægt; have svært ved at bevæge sig pga. sin vægt	blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende	miste styrke i musklerne omkring knæene	forklare eller meddele på en meget grundig og letforståelig måde
lade en dør stå på klem	holde en mulighed åben	kun satse på én mulighed og dermed løbe en risiko	ikke lukke en dør helt i	hjælpe nogen ud af en ubehagelig situation
ikke kunne høre hvad man selv tænker	have svært ved at tyde sine tanker pga. en psykose	være omgivet af larm eller højrøstet snak så man ikke kan koncentrere sig	ikke kunne følge eller huske sine egne tanker	lytte til rygter, sladder og uformel snak og på denne baggrund antage noget bestemt
uden for pædagogisk rækkevidde	hurtigt og i en stor mængde	i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én	så besværet at man ikke kan hjælpes med pædagogiske metoder	ikke relevant for faget pædagogik
være oppe på lakridserne	være energisk, opmærksom og opsat på at yde sit bedste	stå på en bunke lakrids (eller andet slik)	de rigtige venner er dem der holder fast ved én, selv i modgang	følge med i den seneste udvikling
fyre kanonen af	komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv	skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil	bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende	affyre granater eller projektiler fra en kanon
tage med fløjlshandsker på nogen	behandle nogen blidt og nænsomt; tage særligt hensyn til nogen	undlade at fortælle hele sandheden til en person	røre ved nogen mens man bærer handsker af fløjl	én gang opstået kærlighed forgår ikke på trods af adskillelse eller tidens gang
det muntre køkken	uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået	et køkken hvor der hersker en glad stemning	kogekunst der er karakteristisk for personer som ikke spiser animalsk mad	bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer
smøge ærmerne op	lave flere folder på sine (eller andres) ærmer således at håndled og underarme er nøgne	være vred på; bære nag til	ufortrødent og energisk gå i gang med en (svær) opgave	hjælpe nogen med noget simpelt
gå hen over hovedet på nogen	påvirke en person i en åndelig eller spirituel retning	ikke blive forstået af nogen	være højere end nogen	et område virker kaotisk eller modsætningsfyldt, idet de enkelte dele ikke er koordinerede eller logisk sammenhængende
springe over hvor gærdet er lavest	(med fornuft og overvejelse) finde frem til den bedste løsning	dér er det egentlige problem	anstrenge sig mindst muligt for at opnå noget; vælge den nemmeste løsning	springe over et gærde der hvor det rager kortest op fra jorden
nogens hjerte springer et slag over	noget der passer godt med nogens ønsker, hensigter eller meninger	nogens hjerte slår uregelmæssigt og springer slag over der ellers skulle have været der	nogen får en fysisk reaktion på voldsomme følelser	nogen bliver overrumplet af en stærk følelse, fx angst, glæde eller spænding
lege med ilden	spille brætspil eller kortspil frem for at spille på en computer	foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser	de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)	lege med flammer fra fx et stearinlys eller bål
over hals og hoved	i en position over nogens hoved	bedre end man kunne have forestillet sig	hurtigt og uden tid til forberedelse	gøre dybt indtryk; fylde éns bevidsthed helt
den der gemmer til natten, gemmer til katten	mødes med nogen undervejs	det har negativ effekt på den mentale sundhed ikke at fortælle om sine følelser	hvis man går og gemmer på sine værdier eller lignende til fremtiden, er der risiko for at man aldrig får gavn af dem	gemmer man mad natten over risikerer man at det bliver spist (fx af en huskat)
tage arven op efter nogen	beskæftige sig med slægtsforskning	stå ved sine forpligtelser i forhold til fortid eller oprindelse	arve penge eller værdier fordi en nær slægtning dør	ofre eller forråde nogen for selv at få en fordel af det
slå sig på flasken	vokse op i et hjem hvor den ene eller begge forældre indtager for meget alkohol	skære eller slå sig på en flaske	begynde at drikke meget alkohol (regelmæssigt); blive alkoholiker	være orienteret om den aktuelle udvikling på et bestemt (fagligt) område eller i samfundslivet
mens græsset gror, dør horsemor	en hoppe med føl overlever ikke sommeren	noget tager så lang tid at man ikke når det mål man har sat sig	overdrive; tillægge en lille sag (for) stor betydning	noget må slutte før noget andet kan begynde
det store dyr i åbenbaringen	bruges for at udtrykke når nogen eller noget er af markant bedre kvalitet end andet	svække alvorligt; gøre uskadelig	noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område	en elefant i en religiøs betragtning
gå i hundene	gå til grunde økonomisk, socialt og fysisk, ofte i forbindelse med alkoholmisbrug	gøre nogen ked af det; vække nogens medynk	gå ovenpå de jordiske rester af hunde	opføre sig overfor nogen som en hund opfører sig overfor sin ejer
ramme på kornet	ramme direkte på et korn, fx i forbindelse med høstning af afgrøder	beskrive præcist og rammende; ramme et ømt punkt hos nogen	passe perfekt ind i en bestemt sammenhæng	holde sig gode venner med begge parter i en strid; udvise en tvetydig, upålidelig holdning
sætte nogen fluer i hovedet	få nogen til at tro på en umulig plan eller fremtidsdrøm; give nogen falske forhåbninger	irritere nogen over en længere periode	placere fluer i hovedet på nogen	behandle nogen blidt og nænsomt; tage særligt hensyn til nogen
være i sikre hænder	være (lidt) skør eller forvirret; ikke være rigtig vel forvaret	være hjemme hos familiemedlemmer -- typisk forældre eller besteforældre	være i sikkerhed eller under god behandling hos kyndige eller venlige mennesker	være i et sikkert greb
fare i flæsket på	komme i håndgemæng eller slåskamp med	sikre tegn på en uundgåelig og som regel ugunstig eller farlig udvikling	begynde at spise med stor iver og appetit	med høj fart ramme nogen i maven
smide over bord	sætte ud af kraft; kassere	tale hårdt og direkte og med hvasse, kritiske bemærkninger	satse mere end man har	kaste noget ud fra et fartøj og ned i vandet
gribe i egen barm	tage sig til brystet	tilbyde at betale for noget	det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier	erkende egne fejl inden man påtaler andres; være selvkritisk
én på torsken	en lussing; et slag i hovedet	man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr	en veludført eller præcis handling	slal mod hovedet på fisk man netop har fanget
tage med sig i graven	tage æren for andres præstationer	ikke afsløre en hemmelighed eller lignende mens man lever	opgive at gennemføre en ellers fastlagt plan	få opfyldt et ønske om at blive begravet med en særlig genstand ved sin side
komme godt fra land	være i bedring	komme godt i gang; få en god start, især i en sportskamp eller -turnering	ingenting; intet som helst	sejle ud af en havn på fornuftig vis
lægge to og to sammen	løse simple regnestykker	regne noget ud eller forstå noget der egentlig er ret simpelt	samle løse genstande parvis; danne grupper med to enheder i hver	folder i strømper der er gledet ned ad benet
ofre noget på kærlighedens alter	miste noget, fx kontakten til sine venner, i forbindelse med en (ulykkelig) forelskelse	udtrykke (ukritisk) begejstring	give afkald på noget værdifuldt til fordel for kærligheden	ofre noget på et alter og til en guddom man forbinder med kærlighed
bange for sin egen skygge	mærke angstfornemmelser forbundet med synet af sin egen skygge	være meget opmærksom og agtpågivende, fx i trafikken	meget eller overdrevent nervøs eller utryg	bekymre sig over fortiden
det grå guld	modne og ældre personer (med gråt hår) betragtet som værdifuld arbejdskraft, fx pga. deres erfaring og stabilitet	sige eller gøre noget som man har været tilbageholdende med; tage et initiativ	guld med en mat og grålig overflade	værdipapirer og andre værdier der først skal omsættes før de kan bruges som betalingsmiddel
spil for galleriet	energisk, dygtigt eller med held	opføre sig på en måde så andre opfatter én som selvoptaget og arrogant	teatralsk eller hyklerisk optræden, især for at behage nogen	et skuespil opført på et galleri
en pind til nogens el. nogets ligkiste	holde en mulighed åben	bruges for at erklære sig enig i en negativ holdning til nogen eller noget	en del af det træ der udgør den kiste man begraver nogen eller noget i	en medvirkende årsag til en (uheldig, ulykkelig eller uønsket) afslutning på et forløb, en karriere eller lignende
sidde klistret til skærmen	have et livssyn eller en tankegang der traditionelt forbindes med tidligere tiders enkle landliv, uden interesse for moderne udvikling og levevis	sidde med hænderne (eller en anden kropsdel) klistret fast til en skærm	være stærkt optaget af at se fjernsyn	arbejde langvarigt og koncentreret ved en computer
krybe i et musehul	hjælpe eller vejlede nogen	(i tankerne) skjule sig fordi man føler sig pinligt berørt	bevæge sig ind i et smalt område	gå i seng, især i et mindre rum; lægge sig til at sove et sted med begrænset plads
kun en tåbe frygter ikke havet	det er tosset at bade i havet om vinteren	dumme mennesker er ikke bange for havet	man skal være meget forsigtig når man har med havet at gøre	skubbe andre til side for at gavne sin egen karriere
forslå som en skrædder i helvede	være helt utilstrækkeligt i en bestemt henseende	bryde sammen fysisk eller psykisk; ophøre (med at eksistere)	har samme nytte som en skrædder i en farlig situation	være til (uventet) stor nytte
det melder historien ikke noget om	det er ikke en del af historien	noget bestemt hører ikke til beretningen eller sagen, fx fordi det er uvedkommende, hemmeligt eller omstridt	bruges for at antyde at noget er løgn	have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen
have fat i den lange ende	være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige	holde om og trække i en persons ben, fx i forbindelse med slåskamp eller sport	bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis	have fat i den længste ende af noget, fx et tov
den der sår vind, høster storm	grundig forberedelse giver det bedste udbytte	den der kritiserer nogen eller gør nogen fortræd, rammes selv endnu hårdere	fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed	hvis man putter vind i jorden kan man senere finde en storm
tisse i bukserne for at holde varmen	sted langt ude på landet	forsøge at hæve sin kropstemperatur ved at tisse i bukserne	gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt	satse på en uafprøvet eller ukendt metode
tage nogen ved vingebenet	man bør begynde med simple og elementære opgaver før man giver sig i kast med komplicerede	give nogen et stort kram; omfavne en person	give nogen en kraftig irettesættelse; udsætte nogen for stærk kritik	tage fat i nogens skulder
hvis og hvis min røv var spids	bruges til at udtrykke at man føler væmmelse ved nogen eller noget	bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden	med alderen mister ens bagdel sit fedtlag og bliver gradvis mere benet og spids	være åben og ærlig mht. det man foretager sig
prinsen på den hvide hest	attraktiv mand som man drømmer om at have et romantisk forhold til	noget godt der befinder sig på toppen af noget andet godt, fx krymmel på en softice eller parmesan på en pastaret	er man først begyndt på noget, bør man også fuldføre det	Danmarks kronprins på hesteryg, især i forbindelse med parader eller lignende
have meget om ørerne	have en tyk, varm hue på	have travlt	sige eller skrive noget andet end det man har sagt eller skrevet mange gange før	være godt begavet
vælte læsset	rette sig efter nogen; være underkastet nogens vilje	vælte et læs	forhindre noget i at lykkes; ødelægge noget	endelig begynde på en besværlig opgave
stikke en kniv i ryggen på nogen	benene, brugt til at gå på	angribe nogen som tror at angriberen er en forbundsfælle	udføre et bagholdsangreb på en fjendtlig hær eller anden militær enhed	angribe nogen bagfra med et stikvåben
stille sig på bagbenene	være oppe at køre; virkelig glæde sig over noget	kun have vægten på de to bagerste ben -- om et dyr med fire ben	(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre	være modvillig eller genstridig; (prøve at) forhindre noget
slag i bolledejen	et slag i en dej der skal anvendes til boller	når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser	energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende	stort postyr og aktivitet udløst af en bagatel
være en spurv i tranedans	snavs mellem tæerne; snavsede fødder	være klodset og uelegant i sine handlinger	bruges for at udtrykke at en spurv har forvildet sig ind i en gruppe traner	ikke være så fornem som de andre; deltage i noget man ikke er egnet til
lukke for det varme vand	ikke ville yde mere af noget	sige sin mening rent ud	afslutte en romantisk relation	afskære en bolig adgang til varmt vand
vente på at stegte duer skal flyve ind i munden på én	bringe orden i tingene så man kan begynde på en frisk	utålmodigt vente på at nogen serverer mad for én	vente på eller regne med at livets goder kommer til én uden at man skal yde noget særligt for at opnå dem	vente på at andre ordner ens problemer
sætte til vægs	besejre, overvinde; forhindre i at gøre sig gældende	passe på fordi noget (voldsomt) begynder eller finder sted	placere langs med eller op ad en væg	midlertidigt afbryde en opgave, et foretagende eller lignende
en klods om benet på nogen	noget der stikker til nogens dårlige samvittighed	person, genstand eller anden omstændighed der gør nogen ufri eller er til besvær	aflure nogen deres hensigter eller fremgangsmåde	en uhåndterbar genstand fastgjort til nogens ben
gå ud af sit gode skind	tage alt tøj af så man til sidst er nøgen; afklæde sig alt tøj	hvis man én gang er kommet galt af sted med noget, undgår man at indlade sig på det igen	tage sin pelsjakke af	være psykisk ude af balance af vrede, sorg, nervøsitet, irritation, længsel eller lignende
smide barnet ud med badevandet	ødelægge noget værdifuldt idet man forkaster eller ændrer noget andet	bortskaffe et spædbarn ved at smide det i en kloak	opgive noget man har ofret meget energi på	man skal være forsigtig når man siger noget fortroligt, for der er måske uvedkommende der lytter
